,agent,md_learner,md_psy,md_teacher,n_learnt,n_learnt_end_ss,tau,s,b,m,c,x
79,79,Walsh2018,,Leitner,0,0,1.3276322281071904,0.0,0.15555555555555556,0.06666666666666667,0.1,0.6
80,80,Walsh2018,,Leitner,0,0,1.5,0.05555555555555556,0.13333333333333333,0.0,0.1,0.6
81,81,Walsh2018,,Leitner,0,0,0.9205287735493741,0.07777777777777778,0.044444444444444446,0.08888888888888889,0.1,0.6
82,82,Walsh2018,,Leitner,3,2,0.7211247851537042,0.0,0.0,0.13333333333333333,0.1,0.6
83,83,Walsh2018,,Leitner,8,7,0.5649154819548765,0.011111111111111112,0.0,0.08888888888888889,0.1,0.6
84,84,Walsh2018,,Leitner,4,3,0.5649154819548765,0.07777777777777778,0.0,0.15555555555555556,0.1,0.6
85,85,Walsh2018,,Leitner,0,0,0.6382590035046208,0.08888888888888889,0.15555555555555556,0.2,0.1,0.6
86,86,Walsh2018,,Leitner,0,0,0.5,0.03333333333333333,0.11111111111111112,0.17777777777777778,0.1,0.6
87,87,Walsh2018,,Leitner,0,0,0.5649154819548765,0.08888888888888889,0.06666666666666667,0.08888888888888889,0.1,0.6
88,88,Walsh2018,,Leitner,0,0,0.7211247851537042,0.06666666666666667,0.11111111111111112,0.2,0.1,0.6
89,89,Walsh2018,,Leitner,58,57,0.5649154819548765,0.022222222222222223,0.0,0.022222222222222223,0.1,0.6
90,90,Walsh2018,,Leitner,0,0,0.9205287735493741,0.08888888888888889,0.11111111111111112,0.17777777777777778,0.1,0.6
91,91,Walsh2018,,Leitner,0,0,1.3276322281071904,0.08888888888888889,0.08888888888888889,0.0,0.1,0.6
92,92,Walsh2018,,Leitner,0,0,1.1750715554059086,0.044444444444444446,0.044444444444444446,0.06666666666666667,0.1,0.6
93,93,Walsh2018,,Leitner,0,0,0.6382590035046208,0.05555555555555556,0.11111111111111112,0.044444444444444446,0.1,0.6
94,94,Walsh2018,,Leitner,0,0,1.5,0.011111111111111112,0.13333333333333333,0.15555555555555556,0.1,0.6
95,95,Walsh2018,,Leitner,0,0,0.8147491111094232,0.05555555555555556,0.13333333333333333,0.15555555555555556,0.1,0.6
96,96,Walsh2018,,Leitner,0,0,0.9205287735493741,0.05555555555555556,0.06666666666666667,0.044444444444444446,0.1,0.6
97,97,Walsh2018,,Leitner,0,0,0.7211247851537042,0.022222222222222223,0.2,0.15555555555555556,0.1,0.6
98,98,Walsh2018,,Leitner,0,0,0.8147491111094232,0.044444444444444446,0.022222222222222223,0.17777777777777778,0.1,0.6
99,99,Walsh2018,,Leitner,0,0,1.040041911525952,0.1,0.2,0.08888888888888889,0.1,0.6
100,100,Walsh2018,,Leitner,57,56,0.5,0.07777777777777778,0.0,0.022222222222222223,0.1,0.6
101,101,Walsh2018,,Leitner,0,0,1.1750715554059086,0.1,0.17777777777777778,0.06666666666666667,0.1,0.6
102,102,Walsh2018,,Leitner,0,0,0.6382590035046208,0.1,0.17777777777777778,0.06666666666666667,0.1,0.6
103,103,Walsh2018,,Leitner,0,0,1.5,0.05555555555555556,0.17777777777777778,0.2,0.1,0.6
