,agent,md_learner,md_psy,md_teacher,n_learnt,n_learnt_end_ss,alpha,beta
52,52,exp_decay,,leitner,0,8,0.025000000000000005,0.1053421052631579
53,53,exp_decay,,leitner,10,47,0.013479742216629382,0.47368947368421055
54,54,exp_decay,,leitner,52,57,0.007268138009071234,0.7894157894736843
55,55,exp_decay,,leitner,0,9,0.007268138009071234,0.05272105263157895
56,56,exp_decay,,leitner,59,59,6.879341027591355e-07,0.8420368421052632
57,57,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.2105842105263158
58,58,exp_decay,,leitner,58,58,6.879341027591355e-07,0.1053421052631579
59,59,exp_decay,,leitner,57,58,5.192252346839353e-05,0.7367947368421053
60,60,exp_decay,,leitner,0,42,5.192252346839353e-05,0.0001
61,61,exp_decay,,leitner,59,59,2.366266648695089e-06,0.7894157894736843
62,62,exp_decay,,leitner,3,57,2.366266648695089e-06,0.05272105263157895
63,63,exp_decay,,leitner,58,59,1.5095202653901002e-05,0.8946578947368421
64,64,exp_decay,,leitner,0,54,1.5095202653901002e-05,0.15796315789473683
65,65,exp_decay,,leitner,49,56,9.629732274171165e-05,0.47368947368421055
66,66,exp_decay,,leitner,0,42,0.00017859637297609765,0.05272105263157895
67,67,exp_decay,,leitner,57,58,0.00017859637297609765,0.7894157894736843
68,68,exp_decay,,leitner,59,59,9.629732274171165e-05,0.9999
69,69,exp_decay,,leitner,52,57,0.00017859637297609765,0.5789315789473685
70,70,exp_decay,,leitner,0,49,0.00017859637297609765,0.2632052631578947
71,71,exp_decay,,leitner,57,58,2.366266648695089e-06,0.2632052631578947
72,72,exp_decay,,leitner,59,59,2.366266648695089e-06,0.5789315789473685
73,73,exp_decay,,leitner,53,57,1.5095202653901002e-05,0.36844736842105263
74,74,exp_decay,,leitner,57,59,1.5095202653901002e-05,0.6841736842105264
75,75,exp_decay,,leitner,59,59,6.879341027591355e-07,0.3158263157894737
76,76,exp_decay,,leitner,58,58,2.0000000000000002e-07,0.0001
77,77,exp_decay,,leitner,59,59,6.879341027591355e-07,0.6315526315789474
78,78,exp_decay,,leitner,0,52,5.192252346839353e-05,0.2105842105263158
79,79,exp_decay,,leitner,53,58,5.192252346839353e-05,0.5263105263157895
80,80,exp_decay,,leitner,58,59,0.013479742216629382,0.9999
81,81,exp_decay,,leitner,0,39,0.007268138009071234,0.2632052631578947
82,82,exp_decay,,leitner,32,51,0.007268138009071234,0.5789315789473685
83,83,exp_decay,,leitner,0,36,0.025000000000000005,0.3158263157894737
84,84,exp_decay,,leitner,40,50,0.025000000000000005,0.6315526315789474
85,85,exp_decay,,leitner,44,52,0.025000000000000005,0.6841736842105264
86,86,exp_decay,,leitner,0,39,0.025000000000000005,0.36844736842105263
87,87,exp_decay,,leitner,29,48,0.007268138009071234,0.5263105263157895
88,88,exp_decay,,leitner,0,37,0.007268138009071234,0.2105842105263158
89,89,exp_decay,,leitner,57,58,0.013479742216629382,0.9472789473684211
90,90,exp_decay,,leitner,55,58,5.192252346839353e-05,0.5789315789473685
91,91,exp_decay,,leitner,14,53,5.192252346839353e-05,0.2632052631578947
92,92,exp_decay,,leitner,58,58,2.0000000000000002e-07,0.05272105263157895
93,93,exp_decay,,leitner,59,59,6.879341027591355e-07,0.6841736842105264
94,94,exp_decay,,leitner,59,59,6.879341027591355e-07,0.36844736842105263
95,95,exp_decay,,leitner,57,59,1.5095202653901002e-05,0.6315526315789474
96,96,exp_decay,,leitner,49,57,1.5095202653901002e-05,0.3158263157894737
97,97,exp_decay,,leitner,59,59,2.366266648695089e-06,0.5263105263157895
98,98,exp_decay,,leitner,56,58,2.366266648695089e-06,0.2105842105263158
99,99,exp_decay,,leitner,0,47,0.00017859637297609765,0.2105842105263158
100,100,exp_decay,,leitner,49,56,0.00017859637297609765,0.5263105263157895
101,101,exp_decay,,leitner,58,59,9.629732274171165e-05,0.9472789473684211
102,102,exp_decay,,leitner,9,51,0.00017859637297609765,0.3158263157894737
103,103,exp_decay,,leitner,55,58,0.00017859637297609765,0.6315526315789474
104,104,exp_decay,,leitner,59,59,2.366266648695089e-06,0.6315526315789474
105,105,exp_decay,,leitner,58,59,2.7996089263633432e-05,0.9472789473684211
106,106,exp_decay,,leitner,57,58,2.366266648695089e-06,0.3158263157894737
107,107,exp_decay,,leitner,56,58,1.5095202653901002e-05,0.5263105263157895
108,108,exp_decay,,leitner,26,55,1.5095202653901002e-05,0.2105842105263158
109,109,exp_decay,,leitner,59,59,6.879341027591355e-07,0.5789315789473685
110,110,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.15796315789473683
111,111,exp_decay,,leitner,59,59,6.879341027591355e-07,0.2632052631578947
112,112,exp_decay,,leitner,56,58,5.192252346839353e-05,0.6841736842105264
113,113,exp_decay,,leitner,40,56,5.192252346839353e-05,0.36844736842105263
114,114,exp_decay,,leitner,59,59,1.2758665776086956e-06,0.9999
115,115,exp_decay,,leitner,43,53,0.007268138009071234,0.6315526315789474
116,116,exp_decay,,leitner,0,42,0.007268138009071234,0.3158263157894737
117,117,exp_decay,,leitner,26,49,0.025000000000000005,0.5789315789473685
