,agent,md_learner,md_psy,md_teacher,n_learnt,n_learnt_end_ss,alpha,beta
364,364,exp_decay,,leitner,23,48,0.013479742216629382,0.5263105263157895
365,365,exp_decay,,leitner,34,51,0.013479742216629382,0.5789315789473685
366,366,exp_decay,,leitner,0,37,0.013479742216629382,0.2632052631578947
367,367,exp_decay,,leitner,59,59,0.007268138009071234,0.9999
368,368,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.4210684210526316
369,369,exp_decay,,leitner,59,59,1.2758665776086956e-06,0.6315526315789474
370,370,exp_decay,,leitner,58,58,1.2758665776086956e-06,0.3158263157894737
371,371,exp_decay,,leitner,58,59,5.192252346839353e-05,0.9472789473684211
372,372,exp_decay,,leitner,57,59,2.7996089263633432e-05,0.6841736842105264
373,373,exp_decay,,leitner,59,59,2.366266648695089e-06,0.9999
374,374,exp_decay,,leitner,50,57,2.7996089263633432e-05,0.36844736842105263
375,375,exp_decay,,leitner,0,51,9.629732274171165e-05,0.2632052631578947
376,376,exp_decay,,leitner,53,58,9.629732274171165e-05,0.5789315789473685
377,377,exp_decay,,leitner,59,59,0.00017859637297609765,0.9999
378,378,exp_decay,,leitner,35,55,9.629732274171165e-05,0.36844736842105263
379,379,exp_decay,,leitner,56,58,9.629732274171165e-05,0.6841736842105264
380,380,exp_decay,,leitner,59,59,1.5095202653901002e-05,0.9999
381,381,exp_decay,,leitner,56,58,2.7996089263633432e-05,0.5789315789473685
382,382,exp_decay,,leitner,27,55,2.7996089263633432e-05,0.2632052631578947
383,383,exp_decay,,leitner,59,59,1.2758665776086956e-06,0.5263105263157895
384,384,exp_decay,,leitner,58,58,1.2758665776086956e-06,0.2105842105263158
385,385,exp_decay,,leitner,59,59,6.879341027591355e-07,0.9472789473684211
386,386,exp_decay,,leitner,42,53,0.013479742216629382,0.6841736842105264
387,387,exp_decay,,leitner,0,42,0.013479742216629382,0.36844736842105263
388,388,exp_decay,,leitner,57,58,0.025000000000000005,0.9472789473684211
389,389,exp_decay,,leitner,58,59,0.025000000000000005,0.9999
390,390,exp_decay,,leitner,0,39,0.013479742216629382,0.3158263157894737
391,391,exp_decay,,leitner,39,52,0.013479742216629382,0.6315526315789474
392,392,exp_decay,,leitner,59,59,6.879341027591355e-07,0.9999
393,393,exp_decay,,leitner,58,58,1.2758665776086956e-06,0.2632052631578947
394,394,exp_decay,,leitner,59,59,1.2758665776086956e-06,0.5789315789473685
395,395,exp_decay,,leitner,2,54,2.7996089263633432e-05,0.2105842105263158
396,396,exp_decay,,leitner,55,58,2.7996089263633432e-05,0.5263105263157895
397,397,exp_decay,,leitner,59,59,1.5095202653901002e-05,0.9472789473684211
398,398,exp_decay,,leitner,55,58,9.629732274171165e-05,0.6315526315789474
399,399,exp_decay,,leitner,24,52,9.629732274171165e-05,0.3158263157894737
