,alpha,beta
144,9.743494403440239e-06,0.2105842105263158
145,9.743494403440239e-06,0.2632052631578947
146,9.743494403440239e-06,0.3158263157894737
147,9.743494403440239e-06,0.36844736842105263
148,9.743494403440239e-06,0.4210684210526316
149,9.743494403440239e-06,0.47368947368421055
150,9.743494403440239e-06,0.5263105263157895
151,9.743494403440239e-06,0.5789315789473685
152,9.743494403440239e-06,0.6315526315789474
153,9.743494403440239e-06,0.6841736842105264
154,9.743494403440239e-06,0.7367947368421053
155,9.743494403440239e-06,0.7894157894736843
156,9.743494403440239e-06,0.8420368421052632
157,9.743494403440239e-06,0.8946578947368421
158,9.743494403440239e-06,0.9472789473684211
159,9.743494403440239e-06,0.9999
160,1.8742039366662617e-05,0.0001
161,1.8742039366662617e-05,0.05272105263157895
162,1.8742039366662617e-05,0.1053421052631579
163,1.8742039366662617e-05,0.15796315789473683
164,1.8742039366662617e-05,0.2105842105263158
165,1.8742039366662617e-05,0.2632052631578947
166,1.8742039366662617e-05,0.3158263157894737
167,1.8742039366662617e-05,0.36844736842105263
168,1.8742039366662617e-05,0.4210684210526316
169,1.8742039366662617e-05,0.47368947368421055
170,1.8742039366662617e-05,0.5263105263157895
171,1.8742039366662617e-05,0.5789315789473685
172,1.8742039366662617e-05,0.6315526315789474
173,1.8742039366662617e-05,0.6841736842105264
174,1.8742039366662617e-05,0.7367947368421053
175,1.8742039366662617e-05,0.7894157894736843
176,1.8742039366662617e-05,0.8420368421052632
177,1.8742039366662617e-05,0.8946578947368421
178,1.8742039366662617e-05,0.9472789473684211
179,1.8742039366662617e-05,0.9999
180,3.6051135770910564e-05,0.0001
181,3.6051135770910564e-05,0.05272105263157895
182,3.6051135770910564e-05,0.1053421052631579
183,3.6051135770910564e-05,0.15796315789473683
184,3.6051135770910564e-05,0.2105842105263158
185,3.6051135770910564e-05,0.2632052631578947
186,3.6051135770910564e-05,0.3158263157894737
187,3.6051135770910564e-05,0.36844736842105263
188,3.6051135770910564e-05,0.4210684210526316
189,3.6051135770910564e-05,0.47368947368421055
190,3.6051135770910564e-05,0.5263105263157895
191,3.6051135770910564e-05,0.5789315789473685
192,3.6051135770910564e-05,0.6315526315789474
193,3.6051135770910564e-05,0.6841736842105264
